,Course Code,Name,Req,Credits,Begin Date,End Date,Instructor,M,T,W,R,F,start_time,end_time,location
120,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Dusek, Jeff",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
121,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
122,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Ruvolo, Paul",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
123,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Somerville, Mark",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
124,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Vanasupa, Linda",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
125,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC113-Classroom"
126,ENGX2001-01,Quantitative Engineering Analysis 1b,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC128-ProjLab Multi Medi"
127,MTH2131-01,Data Science,,2,2020-01-22,2020-05-01,"Downey, Allen",0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
128,MTH2135-01,"Neurotechnology, Brains and Machines",,2,2020-01-22,2020-05-01,"Michalka, Samantha",0,0,1,0,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC428-ModControlDedicate"
129,MTH3120-01,Partial Differential Equations,,4,2020-01-22,2020-05-01,"Houston-Edwards, Kelsey",1,0,0,1,0,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC109-Classroom"
130,OIP1000-01,Olin Internship Practicum I,,1,2020-01-22,2020-05-01,"Phelps, Sally J.",0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
131,OIP1001-01,Olin Internship Practicum II,,1,2020-01-22,2020-05-01,"Phelps, Sally J.",0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
132,SCI1250-01,Six Microbes that Changed the World with Laboratory,,4,2020-01-22,2020-05-01,"Huang, Jean",0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
133,SCI1410-01,Materials Science and Solid State Chemistry : Materials&Pract of Experimentati,,4,2020-01-22,2020-05-01,"Neal, Matthew J.",0,1,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC413-Materials Sci Lab"
134,SCI1420-01,"Metals, Mining, and the Environment",,4,2020-01-22,2020-05-01,"Stolk, Jonathan",1,0,0,1,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC413-Materials Sci Lab"
135,SCI2235-01,Biomimicry,,4,2020-01-22,2020-05-01,"Huang, Jean",1,0,0,1,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
136,SCI2235-01,Biomimicry,,4,2020-01-22,2020-05-01,"Linder, Benjamin",1,0,0,1,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
137,SUST2201-01,Introduction to Sustainability,,4,2020-01-22,2020-05-01,"Stolk, Jonathan",0,0,1,0,0,15:00:00,18:00:00,"MAIN Campus, Academic Center, AC417-Classroom"
